2025-12-09 10:18:59 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-09 10:19:00 | INFO | auth | Authentication successful
2025-12-09 10:19:00 | INFO | main | Authentication successful. Starting bot...
2025-12-09 10:19:00 | INFO | main | Using watchlist: ['TATASTEEL', 'WIPRO']
2025-12-09 10:19:00 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL', 'WIPRO']
2025-12-09 10:19:00 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-09 10:19:00 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-09 10:19:00 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-09 10:19:00 | INFO | live | Monitoring... (waiting for data)
2025-12-09 10:19:01 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-09 10:19:05 | INFO | live | Monitoring... NSE=₹257.82 BSE=₹257.75 Spread=₹0.07
2025-12-09 10:19:10 | INFO | live | Monitoring... NSE=₹257.85 BSE=₹257.75 Spread=₹0.10
2025-12-09 10:19:15 | INFO | live | Monitoring... NSE=₹257.84 BSE=₹257.90 Spread=₹0.06
2025-12-09 10:19:20 | INFO | live | Monitoring... NSE=₹257.79 BSE=₹257.90 Spread=₹0.11
2025-12-09 10:19:25 | INFO | live | Monitoring... NSE=₹161.65 BSE=₹161.60 Spread=₹0.05
2025-12-09 10:19:30 | INFO | live | Monitoring... NSE=₹161.65 BSE=₹161.60 Spread=₹0.05
2025-12-09 10:19:35 | INFO | live | Monitoring... NSE=₹257.77 BSE=₹257.90 Spread=₹0.13
2025-12-09 10:19:40 | INFO | live | Monitoring... NSE=₹161.66 BSE=₹161.70 Spread=₹0.04
2025-12-09 10:19:45 | INFO | live | Monitoring... NSE=₹257.67 BSE=₹257.55 Spread=₹0.12
2025-12-09 10:19:50 | INFO | live | Monitoring... NSE=₹257.67 BSE=₹257.55 Spread=₹0.12
2025-12-09 10:19:55 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.55 Spread=₹0.10
2025-12-09 10:20:00 | INFO | live | Monitoring... NSE=₹257.76 BSE=₹257.80 Spread=₹0.04
2025-12-09 10:20:05 | INFO | live | Monitoring... NSE=₹161.64 BSE=₹161.55 Spread=₹0.09
2025-12-09 10:20:10 | INFO | live | Monitoring... NSE=₹257.66 BSE=₹257.80 Spread=₹0.14
2025-12-09 10:20:15 | INFO | live | Monitoring... NSE=₹257.72 BSE=₹257.75 Spread=₹0.03
2025-12-09 10:20:20 | INFO | live | Monitoring... NSE=₹161.58 BSE=₹161.55 Spread=₹0.03
2025-12-09 10:20:25 | INFO | live | Monitoring... NSE=₹161.57 BSE=₹161.60 Spread=₹0.03
2025-12-09 10:20:30 | INFO | live | Monitoring... NSE=₹257.74 BSE=₹257.75 Spread=₹0.01
2025-12-09 10:20:35 | INFO | live | Monitoring... NSE=₹257.79 BSE=₹257.75 Spread=₹0.04
2025-12-09 10:20:40 | INFO | live | Monitoring... NSE=₹257.78 BSE=₹257.75 Spread=₹0.03
2025-12-09 10:20:45 | INFO | live | Monitoring... NSE=₹161.58 BSE=₹161.60 Spread=₹0.02
2025-12-09 10:20:50 | INFO | live | Monitoring... NSE=₹161.52 BSE=₹161.60 Spread=₹0.08
2025-12-09 10:20:55 | INFO | live | Monitoring... NSE=₹257.63 BSE=₹257.50 Spread=₹0.13
2025-12-09 10:21:00 | INFO | live | Monitoring... NSE=₹161.45 BSE=₹161.50 Spread=₹0.05
2025-12-09 10:21:05 | INFO | live | Monitoring... NSE=₹257.58 BSE=₹257.60 Spread=₹0.02
2025-12-09 10:21:10 | INFO | live | Monitoring... NSE=₹257.53 BSE=₹257.60 Spread=₹0.07
2025-12-09 10:21:15 | INFO | live | Monitoring... NSE=₹257.53 BSE=₹257.60 Spread=₹0.07
2025-12-09 10:21:20 | INFO | live | Monitoring... NSE=₹257.50 BSE=₹257.55 Spread=₹0.05
2025-12-09 10:21:25 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.55 Spread=₹0.12
2025-12-09 10:21:30 | INFO | live | Monitoring... NSE=₹257.45 BSE=₹257.55 Spread=₹0.10
2025-12-09 10:21:35 | INFO | live | Monitoring... NSE=₹257.46 BSE=₹257.55 Spread=₹0.09
2025-12-09 10:21:40 | INFO | live | Monitoring... NSE=₹161.47 BSE=₹161.40 Spread=₹0.07
2025-12-09 10:21:45 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:21:50 | INFO | live | Monitoring... NSE=₹257.52 BSE=₹257.50 Spread=₹0.02
2025-12-09 10:21:55 | INFO | live | Monitoring... NSE=₹161.43 BSE=₹161.35 Spread=₹0.08
2025-12-09 10:22:00 | INFO | live | Monitoring... NSE=₹161.46 BSE=₹161.25 Spread=₹0.21
2025-12-09 10:22:05 | INFO | live | Monitoring... NSE=₹161.45 BSE=₹161.25 Spread=₹0.20
2025-12-09 10:22:10 | INFO | live | Monitoring... NSE=₹257.64 BSE=₹257.60 Spread=₹0.04
2025-12-09 10:22:15 | INFO | live | Monitoring... NSE=₹257.67 BSE=₹257.60 Spread=₹0.07
2025-12-09 10:22:20 | INFO | live | Monitoring... NSE=₹257.66 BSE=₹257.60 Spread=₹0.06
2025-12-09 10:22:25 | INFO | live | Monitoring... NSE=₹257.66 BSE=₹257.60 Spread=₹0.06
2025-12-09 10:22:30 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.60 Spread=₹0.05
2025-12-09 10:22:35 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.70 Spread=₹0.05
2025-12-09 10:22:40 | INFO | live | Monitoring... NSE=₹161.69 BSE=₹161.65 Spread=₹0.04
2025-12-09 10:22:45 | INFO | live | Monitoring... NSE=₹257.66 BSE=₹257.70 Spread=₹0.04
2025-12-09 10:22:50 | INFO | live | Monitoring... NSE=₹161.71 BSE=₹161.80 Spread=₹0.09
2025-12-09 10:22:55 | INFO | live | Monitoring... NSE=₹161.76 BSE=₹161.80 Spread=₹0.04
2025-12-09 10:23:00 | INFO | live | Monitoring... NSE=₹257.95 BSE=₹257.90 Spread=₹0.05
2025-12-09 10:23:05 | INFO | live | Monitoring... NSE=₹257.95 BSE=₹258.15 Spread=₹0.20
